target_x,target_y,iterations,final_err,theta1_deg,theta2_deg,theta3_deg,manipulability_w
0.6,0.2,13,3.153641333614763e-07,-337.78367562965974,316.5156104307302,98.93969714858613,0.1244332705356259
0.4,0.4,14,7.975292923534777e-07,-289.9161711242428,274.083852433447,103.1996419391734,0.12000460753481605
0.0,0.7,17,2.6295510460396196e-07,-287.6801651062898,415.49209305932106,294.53914106904904,0.10614797528483182
-0.3,0.5,12,6.113763814923936e-07,-297.9436287438963,452.3020208447678,353.9213289479296,0.15919642275537638
